3	2	2	5	0	0	0	0	1	3	1	2	0	2	1	0	1	3	1	1	3	1	1	2	0	1	1	1	2	7	3
12	7	5	3	12	7	10	10	4	3	9	8	11	5	9	8	9	6	6	8	3	7	3	7	3	10	9	6	9	10	5
0	2	1	0	0	2	1	3	2	0	0	3	1	1	2	1	0	0	0	3	3	2	2	0	0	0	4	1	0	1	0
0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
22	14	11	9	20	12	20	45	116	89	22	24	11	39	20	31	18	22	23	22	21	14	9	8	9	17	18	17	13	11	15
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0
9	8	16	17	14	6	5	7	7	13	11	10	8	5	4	10	14	9	7	10	6	4	12	12	9	4	8	9	9	6	17
3	6	5	16	3	1	1	11	11	2	12	0	3	2	8	4	4	12	2	4	4	6	3	7	7	0	2	2	1	5	3
0	0	1	2	0	0	0	0	1	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	3
0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	10	15	10	8	7	16	14	9	7	12	11	13	6	3	7	7	8	6	11	11	8	8	5	12	13	14	9	4	10	8
7	12	9	10	8	8	8	8	4	6	2	7	11	7	3	9	3	6	7	13	9	6	9	8	4	8	11	9	8	8	6
1	2	0	0	0	0	2	1	0	1	1	0	2	2	1	1	0	0	0	0	3	2	0	0	0	0	0	2	1	1	0
0	0	1	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0	1	2	1	2	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	1	0	1	1	0
1	2	0	1	2	0	1	0	1	1	1	1	1	1	0	1	3	0	1	4	4	1	0	2	0	1	3	4	1	2	1
0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	1	2	0	1	0	0	1	0	0	1	1	0	0	0	1	1
6	7	0	1	3	5	7	2	1	0	1	4	3	3	2	0	0	0	0	1	1	1	0	0	0	1	0	0	2	2	2
3	3	1	2	1	5	5	1	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0
8	5	4	2	2	4	1	3	5	5	4	3	1	6	4	6	3	5	0	2	3	7	9	11	14	2	6	5	6	4	17
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
3	3	2	1	2	4	2	0	0	1	4	2	7	2	3	3	1	4	4	6	4	3	3	4	2	3	1	1	3	3	6
34	36	38	34	28	34	32	23	25	31	45	30	39	25	16	29	32	29	34	54	23	37	37	38	29	30	36	40	42	36	46
9	13	16	9	11	13	9	3	12	10	11	9	12	6	12	8	10	9	4	12	9	8	13	6	8	8	14	10	12	10	13
7	2	1	1	2	2	1	3	2	1	3	0	2	3	1	2	1	1	1	0	1	2	1	1	1	1	3	2	1	4	3
29	32	25	30	39	22	29	25	18	25	18	33	34	25	23	34	21	17	38	34	34	26	38	28	28	22	37	46	44	26	22
3	2	7	2	5	3	4	2	3	7	5	0	3	2	6	6	1	4	0	2	5	3	5	3	0	3	1	4	4	6	3
12	11	13	9	13	13	14	9	6	9	13	16	22	6	12	12	6	10	15	10	14	11	15	13	8	13	14	7	13	15	14
4	8	12	4	7	3	4	4	8	9	4	4	4	5	6	5	2	1	8	8	14	5	12	6	4	6	8	3	5	6	8
4	6	4	1	1	3	2	2	3	1	1	6	2	4	1	2	7	2	4	2	4	5	1	2	2	6	3	3	2	3	7
1	0	2	2	2	0	2	0	0	1	0	1	3	2	1	1	1	1	1	0	2	2	1	3	0	0	2	1	1	0	3
10	7	5	11	5	4	5	4	12	4	7	7	8	5	4	4	7	8	7	10	11	15	13	9	6	9	12	8	7	4	5
0	1	3	0	0	2	0	0	0	0	1	0	2	2	1	4	2	3	3	3	2	4	3	4	1	0	2	0	2	3	4
2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1
1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	1	1	0	0
75	57	71	59	82	50	71	39	45	51	46	68	48	57	43	56	45	51	60	84	55	55	66	45	29	53	58	50	46	60	56
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
15	5	4	5	5	1	4	11	4	5	7	8	7	3	4	4	5	2	2	9	5	9	7	2	4	5	4	8	5	3	9
5	0	1	7	1	2	0	3	3	4	4	2	1	1	1	1	1	4	5	6	3	4	8	3	2	2	3	6	2	7	4
8	8	4	6	10	1	6	3	5	3	2	8	8	6	6	8	11	4	10	8	7	10	10	5	2	7	10	9	12	11	3
18	20	17	27	21	23	20	21	15	12	25	22	35	16	27	20	12	31	22	26	30	25	31	14	17	21	37	16	23	28	21
5	0	1	0	2	1	4	2	1	0	1	2	3	4	1	1	4	1	2	1	2	4	2	0	1	1	2	2	1	2	6
6	6	5	6	2	7	4	3	3	5	5	6	4	2	7	6	2	3	1	6	2	3	8	4	6	5	3	7	5	5	5
0	1	2	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1
29	31	31	19	27	21	41	39	25	33	30	22	36	34	37	42	29	22	22	35	24	23	27	30	25	33	37	26	28	29	23
27	32	33	34	8	42	36	30	16	27	25	27	40	32	21	29	26	33	36	36	30	23	28	24	20	22	22	27	20	31	22
0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
